store_id,modality,doc_count,vector_dim,has_vector
USR-001,reviews,19,3072,True
USR-002,reviews,16,3072,True
USR-003,reviews,19,3072,True
USR-004,reviews,16,3072,True
USR-005,reviews,9,3072,True
USR-006,reviews,17,3072,True
USR-007,reviews,17,3072,True
USR-008,reviews,16,3072,True
USR-009,reviews,15,3072,True
USR-010,reviews,16,3072,True
USR-011,reviews,10,3072,True
USR-012,reviews,16,3072,True
USR-013,reviews,17,3072,True
USR-014,reviews,16,3072,True
USR-015,reviews,14,3072,True
USR-016,reviews,8,3072,True
USR-017,reviews,10,3072,True
USR-018,reviews,15,3072,True
USR-019,reviews,1,3072,True
USR-020,reviews,10,3072,True
USR-021,reviews,21,3072,True
USR-022,reviews,8,3072,True
USR-023,reviews,19,3072,True
USR-024,reviews,17,3072,True
USR-025,reviews,8,3072,True
USR-026,reviews,8,3072,True
USR-027,reviews,16,3072,True
USR-028,reviews,8,3072,True
USR-029,reviews,10,3072,True
USR-030,reviews,10,3072,True
USR-031,reviews,16,3072,True
USR-032,reviews,16,3072,True
USR-033,reviews,15,3072,True
USR-034,reviews,16,3072,True
USR-035,reviews,16,3072,True
USR-036,reviews,10,3072,True
USR-037,reviews,8,3072,True
USR-038,reviews,10,3072,True
USR-039,reviews,3,3072,True
USR-040,reviews,16,3072,True
USR-041,reviews,16,3072,True
USR-042,reviews,16,3072,True
USR-043,reviews,13,3072,True
USR-044,reviews,16,3072,True
USR-045,reviews,10,3072,True
USR-046,reviews,8,3072,True
USR-047,reviews,16,3072,True
USR-048,reviews,10,3072,True
USR-049,reviews,11,3072,True
USR-050,reviews,16,3072,True
USR-051,reviews,12,3072,True
USR-052,reviews,16,3072,True
USR-053,reviews,17,3072,True
USR-054,reviews,16,3072,True
USR-055,reviews,18,3072,True
USR-056,reviews,19,3072,True
USR-057,reviews,8,3072,True
USR-058,reviews,16,3072,True
USR-059,reviews,7,3072,True
USR-060,reviews,16,3072,True
USR-061,reviews,16,3072,True
USR-062,reviews,16,3072,True
USR-063,reviews,17,3072,True
USR-064,reviews,17,3072,True
USR-065,reviews,9,3072,True
USR-066,reviews,14,3072,True
USR-067,reviews,16,3072,True
USR-068,reviews,16,3072,True
USR-069,reviews,14,3072,True
USR-070,reviews,16,3072,True
USR-071,reviews,9,3072,True
USR-072,reviews,16,3072,True
USR-073,reviews,16,3072,True
USR-074,reviews,13,3072,True
USR-075,reviews,12,3072,True
USR-076,reviews,9,3072,True
USR-077,reviews,10,3072,True
USR-078,reviews,8,3072,True
USR-079,reviews,5,3072,True
USR-080,reviews,12,3072,True
USR-081,reviews,16,3072,True
USR-082,reviews,17,3072,True
USR-083,reviews,17,3072,True
USR-084,reviews,17,3072,True
USR-085,reviews,9,3072,True
USR-086,reviews,17,3072,True
USR-087,reviews,16,3072,True
USR-088,reviews,16,3072,True
USR-089,reviews,10,3072,True
USR-090,reviews,16,3072,True
USR-091,reviews,12,3072,True
USR-092,reviews,16,3072,True
USR-093,reviews,11,3072,True
USR-094,reviews,12,3072,True
USR-095,reviews,8,3072,True
USR-096,reviews,8,3072,True
USR-097,reviews,8,3072,True
USR-098,reviews,8,3072,True
USR-099,reviews,2,3072,True
USR-100,reviews,16,3072,True
USR-001,news,22,3072,True
USR-002,news,21,3072,True
USR-003,news,16,3072,True
USR-004,news,16,3072,True
USR-005,news,16,3072,True
USR-006,news,18,3072,True
USR-007,news,17,3072,True
USR-008,news,18,3072,True
USR-009,news,17,3072,True
USR-010,news,20,3072,True
USR-011,news,18,3072,True
USR-012,news,19,3072,True
USR-013,news,15,3072,True
USR-014,news,20,3072,True
USR-015,news,17,3072,True
USR-016,news,15,3072,True
USR-017,news,18,3072,True
USR-018,news,16,3072,True
USR-019,news,18,3072,True
USR-020,news,23,3072,True
USR-021,news,18,3072,True
USR-022,news,18,3072,True
USR-023,news,17,3072,True
USR-024,news,18,3072,True
USR-025,news,10,3072,True
USR-026,news,18,3072,True
USR-027,news,18,3072,True
USR-028,news,15,3072,True
USR-029,news,15,3072,True
USR-030,news,16,3072,True
USR-031,news,18,3072,True
USR-032,news,19,3072,True
USR-033,news,17,3072,True
USR-034,news,21,3072,True
USR-035,news,17,3072,True
USR-036,news,17,3072,True
USR-037,news,19,3072,True
USR-038,news,18,3072,True
USR-039,news,16,3072,True
USR-040,news,21,3072,True
USR-041,news,17,3072,True
USR-042,news,18,3072,True
USR-043,news,14,3072,True
USR-044,news,18,3072,True
USR-045,news,18,3072,True
USR-046,news,14,3072,True
USR-047,news,18,3072,True
USR-048,news,18,3072,True
USR-049,news,18,3072,True
USR-050,news,20,3072,True
USR-051,news,18,3072,True
USR-052,news,17,3072,True
USR-053,news,20,3072,True
USR-054,news,20,3072,True
USR-055,news,16,3072,True
USR-056,news,21,3072,True
USR-057,news,17,3072,True
USR-058,news,18,3072,True
USR-059,news,21,3072,True
USR-060,news,18,3072,True
USR-061,news,20,3072,True
USR-062,news,19,3072,True
USR-063,news,17,3072,True
USR-064,news,20,3072,True
USR-065,news,17,3072,True
USR-066,news,20,3072,True
USR-067,news,21,3072,True
USR-068,news,15,3072,True
USR-069,news,18,3072,True
USR-070,news,19,3072,True
USR-071,news,18,3072,True
USR-072,news,17,3072,True
USR-073,news,18,3072,True
USR-074,news,23,3072,True
USR-075,news,17,3072,True
USR-076,news,18,3072,True
USR-077,news,15,3072,True
USR-078,news,18,3072,True
USR-079,news,17,3072,True
USR-080,news,15,3072,True
USR-081,news,16,3072,True
USR-082,news,15,3072,True
USR-083,news,19,3072,True
USR-084,news,17,3072,True
USR-085,news,17,3072,True
USR-086,news,17,3072,True
USR-087,news,17,3072,True
USR-088,news,17,3072,True
USR-089,news,20,3072,True
USR-090,news,13,3072,True
USR-091,news,15,3072,True
USR-092,news,16,3072,True
USR-093,news,17,3072,True
USR-094,news,20,3072,True
USR-095,news,17,3072,True
USR-096,news,18,3072,True
USR-097,news,18,3072,True
USR-098,news,14,3072,True
USR-099,news,18,3072,True
USR-100,news,19,3072,True
USR-001,reports,6,3072,True
USR-002,reports,7,3072,True
USR-003,reports,11,3072,True
USR-004,reports,12,3072,True
USR-005,reports,15,3072,True
USR-006,reports,12,3072,True
USR-007,reports,10,3072,True
USR-008,reports,5,3072,True
USR-009,reports,13,3072,True
USR-010,reports,9,3072,True
USR-011,reports,10,3072,True
USR-012,reports,11,3072,True
USR-013,reports,12,3072,True
USR-014,reports,11,3072,True
